2022-02-15 21:13:36.594 UTC,,,24554,,620c1780.5fea,1,,2022-02-15 21:13:36 UTC,,0,LOG,00000,"ending log output to stderr",,"Future log output will go to log destination ""csvlog"".",,,,,,,"","postmaster",,0
2022-02-15 21:13:36.594 UTC,,,24554,,620c1780.5fea,2,,2022-02-15 21:13:36 UTC,,0,LOG,00000,"starting PostgreSQL 14.2 (Ubuntu 14.2-1.pgdg20.04+1) on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 9.3.0-17ubuntu1~20.04) 9.3.0, 64-bit",,,,,,,,,"","postmaster",,0
2022-02-15 21:13:36.594 UTC,,,24554,,620c1780.5fea,3,,2022-02-15 21:13:36 UTC,,0,LOG,00000,"listening on IPv4 address ""127.0.0.1"", port 5432",,,,,,,,,"","postmaster",,0
2022-02-15 21:13:36.598 UTC,,,24554,,620c1780.5fea,4,,2022-02-15 21:13:36 UTC,,0,LOG,00000,"listening on Unix socket ""/var/run/postgresql/.s.PGSQL.5432""",,,,,,,,,"","postmaster",,0
2022-02-15 21:13:36.605 UTC,,,24556,,620c1780.5fec,1,,2022-02-15 21:13:36 UTC,,0,LOG,00000,"database system was shut down at 2022-02-15 21:13:36 UTC",,,,,,,,,"","startup",,0
2022-02-15 21:13:36.613 UTC,,,24554,,620c1780.5fea,5,,2022-02-15 21:13:36 UTC,,0,LOG,00000,"database system is ready to accept connections",,,,,,,,,"","postmaster",,0
2022-02-15 21:13:37.646 UTC,"postgres","template1",24566,"[local]",620c1781.5ff6,1,"idle",2022-02-15 21:13:37 UTC,3/2,0,LOG,00000,"statement: ",,,,,,,,,"psql","client backend",,0
2022-02-15 21:13:38.156 UTC,"postgres","template1",24569,"[local]",620c1782.5ff9,1,"idle",2022-02-15 21:13:38 UTC,3/4,0,LOG,00000,"statement: ",,,,,,,,,"psql","client backend",,0
2022-02-15 21:13:38.666 UTC,"postgres","template1",24572,"[local]",620c1782.5ffc,1,"idle",2022-02-15 21:13:38 UTC,3/6,0,LOG,00000,"statement: ",,,,,,,,,"psql","client backend",,0
2022-02-15 21:13:46.845 UTC,"project1user","project1db",24612,"127.0.0.1:36246",620c178a.6024,1,"BEGIN",2022-02-15 21:13:46 UTC,3/8,0,LOG,00000,"execute <unnamed>: BEGIN",,,,,,,,,"","client backend",,0
2022-02-15 21:13:46.845 UTC,"project1user","project1db",24612,"127.0.0.1:36246",620c178a.6024,2,"SET",2022-02-15 21:13:46 UTC,3/8,0,LOG,00000,"execute <unnamed>: SET extra_float_digits = 3",,,,,,,,,"","client backend",,0
2022-02-15 21:13:46.846 UTC,"project1user","project1db",24612,"127.0.0.1:36246",620c178a.6024,3,"SET",2022-02-15 21:13:46 UTC,3/8,0,LOG,00000,"execute <unnamed>: SET application_name = 'PostgreSQL JDBC Driver'",,,,,,,,,"","client backend",,0
2022-02-15 21:13:46.846 UTC,"project1user","project1db",24612,"127.0.0.1:36246",620c178a.6024,4,"COMMIT",2022-02-15 21:13:46 UTC,3/8,0,LOG,00000,"execute <unnamed>: COMMIT",,,,,,,,,"PostgreSQL JDBC Driver","client backend",,0
