2022-02-23 21:39:12.524 UTC,,,207055,,6216a980.328cf,1,,2022-02-23 21:39:12 UTC,,0,LOG,00000,"ending log output to stderr",,"Future log output will go to log destination ""csvlog"".",,,,,,,"","postmaster",,0
2022-02-23 21:39:12.524 UTC,,,207055,,6216a980.328cf,2,,2022-02-23 21:39:12 UTC,,0,LOG,00000,"starting PostgreSQL 14.2 (Ubuntu 14.2-1.pgdg20.04+1) on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 9.3.0-17ubuntu1~20.04) 9.3.0, 64-bit",,,,,,,,,"","postmaster",,0
2022-02-23 21:39:12.524 UTC,,,207055,,6216a980.328cf,3,,2022-02-23 21:39:12 UTC,,0,LOG,00000,"listening on IPv4 address ""127.0.0.1"", port 5432",,,,,,,,,"","postmaster",,0
2022-02-23 21:39:12.529 UTC,,,207055,,6216a980.328cf,4,,2022-02-23 21:39:12 UTC,,0,LOG,00000,"listening on Unix socket ""/var/run/postgresql/.s.PGSQL.5432""",,,,,,,,,"","postmaster",,0
2022-02-23 21:39:12.535 UTC,,,207059,,6216a980.328d3,1,,2022-02-23 21:39:12 UTC,,0,LOG,00000,"database system was shut down at 2022-02-23 21:39:12 UTC",,,,,,,,,"","startup",,0
2022-02-23 21:39:12.551 UTC,,,207055,,6216a980.328cf,5,,2022-02-23 21:39:12 UTC,,0,LOG,00000,"database system is ready to accept connections",,,,,,,,,"","postmaster",,0
2022-02-23 21:39:13.114 UTC,,,207066,"[local]",6216a981.328da,1,"",2022-02-23 21:39:13 UTC,,0,LOG,00000,"connection received: host=[local]",,,,,,,,,"","not initialized",,0
2022-02-23 21:39:13.625 UTC,,,207069,"[local]",6216a981.328dd,1,"",2022-02-23 21:39:13 UTC,,0,LOG,00000,"connection received: host=[local]",,,,,,,,,"","not initialized",,0
2022-02-23 21:39:13.625 UTC,"postgres","template1",207069,"[local]",6216a981.328dd,2,"authentication",2022-02-23 21:39:13 UTC,3/1,0,LOG,00000,"connection authenticated: identity=""postgres"" method=peer (/etc/postgresql/14/main/pg_hba.conf:90)",,,,,,,,,"","client backend",,0
2022-02-23 21:39:13.625 UTC,"postgres","template1",207069,"[local]",6216a981.328dd,3,"authentication",2022-02-23 21:39:13 UTC,3/1,0,LOG,00000,"connection authorized: user=postgres database=template1 application_name=psql",,,,,,,,,"","client backend",,0
2022-02-23 21:39:13.630 UTC,"postgres","template1",207069,"[local]",6216a981.328dd,4,"idle",2022-02-23 21:39:13 UTC,3/2,0,LOG,00000,"statement: ",,,,,,,,,"psql","client backend",,0
